,problem_id,level_type,points,tag
0,prob_3649,H,str,str
1,prob_6191,A,nan,nan
2,prob_2020,F,nan,nan
3,prob_313,A,500,greedy
4,prob_313,A,500,implementation
5,prob_101,A,500,constructive algorithms
6,prob_101,A,500,greedy
7,prob_101,A,500,math
8,prob_1479,E,nan,nan
9,prob_2940,B,nan,nan
10,prob_3059,B,5,brute force
11,prob_1958,D,nan,nan
12,prob_6154,C,nan,nan
13,prob_4069,B,1000,dfs and similar
14,prob_4069,B,1000,dsu
15,prob_4069,B,1000,graphs
16,prob_4926,A,500,implementation
17,prob_3154,K,nan,nan
18,prob_1538,A,nan,nan
19,prob_3750,B,1000,math
20,prob_4440,I,nan,nan
21,prob_4569,A,nan,nan
22,prob_4189,D,nan,nan
23,prob_526,D,2000,math
24,prob_526,D,2000,number theory
25,prob_5498,I,nan,nan
26,prob_3216,F,nan,nan
27,prob_1412,C,1500,brute force
28,prob_1412,C,1500,dp
29,prob_1412,C,1500,number theory
30,prob_5088,B,nan,nan
31,prob_5693,D,2000,brute force
32,prob_5693,D,2000,dfs and similar
33,prob_5693,D,2000,graphs
34,prob_75,A,500,implementation
35,prob_1035,I,nan,nan
36,prob_2822,C,nan,data structures
37,prob_2822,C,nan,expression parsing
38,prob_2822,C,nan,math
39,prob_3277,D,2000,dfs and similar
40,prob_3277,D,2000,greedy
41,prob_3284,nan,nan,nan
42,prob_3714,D,nan,nan
43,prob_1552,C,nan,nan
44,prob_2092,E,nan,nan
45,prob_4119,B,nan,nan
46,prob_1397,B,1000,bitmasks
47,prob_1397,B,1000,brute force
48,prob_1397,B,1000,dfs and similar
49,prob_1397,B,1000,expression parsing
50,prob_1397,B,1000,implementation
51,prob_5862,G,nan,constructive algorithms
52,prob_5862,G,nan,divide and conquer
53,prob_5862,G,nan,implementation
54,prob_6212,A,500,brute force
55,prob_6212,A,500,implementation
56,prob_6212,A,500,sortings
57,prob_5844,G,nan,nan
58,prob_1095,A,nan,greedy
59,prob_1095,A,nan,shortest paths
60,prob_4395,E,nan,combinatorics
61,prob_4395,E,nan,constructive algorithms
62,prob_4395,E,nan,dfs and similar
63,prob_4395,E,nan,graphs
64,prob_1548,G,nan,nan
65,prob_980,F,nan,nan
66,prob_4968,nan,nan,nan
67,prob_704,nan,nan,nan
68,prob_5653,E,nan,nan
69,prob_4911,C,1500,brute force
70,prob_4911,C,1500,math
71,prob_4911,C,1500,strings
72,prob_1190,F,nan,nan
73,prob_2543,A,nan,nan
74,prob_4418,F,nan,nan
75,prob_2735,E,2750,nan
76,prob_4116,B,1000,implementation
77,prob_2626,J,nan,nan
78,prob_3110,C,1500,dfs and similar
79,prob_1054,E,2000,combinatorics
80,prob_1054,E,2000,dp
81,prob_968,F,nan,nan
82,prob_4666,C,nan,number theory
83,prob_6396,D,nan,nan
84,prob_5500,C,1500,dfs and similar
85,prob_5500,C,1500,dsu
86,prob_4871,D,nan,nan
87,prob_2969,B,nan,nan
88,prob_226,A,500,brute force
89,prob_226,A,500,implementation
90,prob_226,A,500,sortings
91,prob_5867,C,1500,dp
92,prob_2897,G,nan,nan
93,prob_1613,B,nan,nan
94,prob_2797,C,2000,dfs and similar
95,prob_2797,C,2000,graphs
96,prob_2797,C,2000,implementation
97,prob_2610,E,nan,nan
98,prob_1649,E,nan,nan
99,prob_3508,A,500,implementation
100,prob_6505,H,nan,nan
101,prob_577,B,nan,nan
102,prob_4590,B,1000,data structures
